property_id,coordinates,StationID,min_route_dist_m,min_route_dur_s
17755147,POINT (145.0752706 -37.8677009),11797,549.07,56.62
17755140,POINT (146.8576085 -36.1164857),37350,189.57,22.79
17755134,POINT (145.0365257 -37.7936169),3199,137.79,18.58
17755131,POINT (145.131622 -38.1481941),21348,270.63,60.69
17755130,POINT (145.2529836 -38.0689351),51201,886.91,158.65
17755121,POINT (144.3542417 -38.0694005),30453,602.47,140.04
17755114,POINT (145.5574698 -37.950504),12561,474.81,37.2
17755110,POINT (144.634362 -37.8404395),28036,1828.12,228.41
17755104,POINT (144.9899772 -37.5463023),28874,751.62,83.88
17755099,POINT (145.1668054 -37.8934338),16072,280.37,32.86
17755085,POINT (144.9865573 -37.8648341),19697,145.25,29.22
17755074,POINT (144.9898193 -37.8762493),12363,446.72,76.67
17755070,POINT (144.3373714 -38.1010231),30467,665.64,132.48
17755065,POINT (145.0288148 -37.9343781),3368,362.19,48.87
17755055,POINT (145.0580365 -37.9876984),8530,628.44,95.25
17755046,POINT (145.1566476 -38.1211263),788,451.39,108.33
17755022,POINT (144.9574501 -37.8269708),18184,226.08,26.69
17755006,POINT (144.9481381 -37.7754454),4533,22.28,1.78
17755005,POINT (143.8661955 -37.5920075),35472,302.77,39.4
17755000,POINT (145.0155778 -37.6043878),28087,573.64,124.67
17754996,POINT (145.1921149 -37.9418072),2404,45.21,3.25
17754977,POINT (144.3330135 -38.170871),30684,338.3,81.19
17754969,POINT (144.8886025 -37.8132373),12017,202.92,18.26
17754967,POINT (144.98285 -37.8685464),11508,165.77,39.84
17754959,POINT (142.1527645 -34.1956465),36981,328.86,48.39
17754958,POINT (144.9082015 -37.8000429),3813,142.04,20.84
17754956,POINT (144.9215089 -37.7965076),7449,132.42,17.37
17754950,POINT (145.2720734 -38.0943601),16338,344.32,73.0
17754949,POINT (142.1444416 -34.2011492),37034,569.34,65.75
17754948,POINT (144.9338295 -37.7950177),7579,0.86,0.08
17754946,POINT (144.9264294 -37.7964119),7577,181.11,33.03
17754934,POINT (145.0329407 -37.8756791),18462,307.02,39.95
17754929,POINT (145.122479 -38.052115),2794,466.35,107.04
17754917,POINT (144.9606531 -37.80719819999999),17856,133.72,24.06
17754913,POINT (144.9673036 -37.76676459999999),6179,474.15,65.4
17754898,POINT (144.9625669 -37.8089213),12198,365.95,61.3
17754895,POINT (145.0399407 -37.9117443),26220,183.92,25.58
17754894,POINT (145.0365718 -37.69684),10831,639.15,136.67
17754882,POINT (144.9982148 -37.7378486),2475,144.2,22.13
17754874,POINT (145.1047054 -38.0290037),22386,230.25,25.08
17754865,POINT (144.8134158 -37.7342613),47515,804.87,127.35
17754861,POINT (144.7345086 -37.7125491),51801,561.96,84.66
17754860,POINT (145.1595075 -38.1270865),2985,454.05,88.22
17754851,POINT (145.0647588 -37.6071094),28072,767.47,124.04
17754850,POINT (145.0104428 -37.7740872),373,172.67,30.66
17754842,POINT (144.6516174 -37.8412715),28034,628.03,87.19
17754838,POINT (145.0502282 -37.9543498),15665,660.67,87.36
17754837,POINT (145.0018916 -37.715619),41722,17.67,1.41
17754833,POINT (145.175693 -37.9516931),1533,537.34,50.85
17754799,POINT (144.8837441 -37.7942419),3810,275.4,35.92
17754792,POINT (142.177071 -34.2577467),37002,553.58,61.42
17754787,POINT (145.4326899 -38.0732091),28925,733.2,123.56
17754783,POINT (144.9218969 -37.643674),8297,480.46,109.14
17754780,POINT (145.7019902 -37.1977684),44822,1112.05,153.17
17754778,POINT (144.2704965 -36.7459922),50552,151.68,21.24
17754773,POINT (144.971853 -37.794848),659,495.15,95.51
17754772,POINT (146.1384929 -37.30190109999999),45009,189.02,37.79
17754761,POINT (144.9833327 -37.8589053),19704,98.09,16.8
17754740,POINT (145.297913 -38.0980661),28972,457.1,89.24
17754724,POINT (142.1154899 -34.2031701),37217,1087.11,185.09
17754723,POINT (145.1636286 -37.8798034),21015,116.07,28.75
17754722,POINT (145.1642549 -37.913185),13677,600.86,129.55
17754712,POINT (144.6787036 -37.8547949),50054,545.89,70.24
17754690,POINT (144.9831033 -38.3237433),40349,146.32,25.8
17754679,POINT (145.0104171 -37.9291938),3490,253.25,23.19
17754674,POINT (144.8952479 -37.7872355),40705,282.57,40.69
17754668,POINT (144.9193462 -37.5920159),46944,1678.14,332.62
17754647,POINT (144.4586494 -38.1860388),30964,700.32,124.44
17754630,POINT (145.3237706 -37.7811082),12865,281.52,67.56
17754603,POINT (144.6575609 -37.7209488),27550,621.98,70.78
17754590,POINT (145.6842262 -36.329031),,,
17754587,POINT (144.8880702 -37.738686),7042,412.23,46.56
17754581,POINT (145.0402228 -37.9611628),16019,262.17,58.04
17754571,POINT (144.2914673 -36.777573),50568,399.32,59.65
17754567,POINT (144.5145854 -38.2646418),45350,170.99,12.31
17754566,POINT (145.9147168 -38.1444742),51429,1314.04,167.56
17754565,POINT (144.9865709 -37.471069),51630,4057.28,435.34
17754564,POINT (145.1331496 -37.9325434),27831,301.16,55.22
17754530,POINT (144.9430728 -37.813231),41078,232.15,26.41
17754512,POINT (145.0202786 -37.8626156),19024,199.24,14.34
17754510,POINT (144.9694379 -37.785716),19344,188.43,25.64
17754501,POINT (144.9800944 -37.8472188),19563,341.77,56.75
17754496,POINT (144.9794182 -37.8528041),19566,433.3,48.07
17754489,POINT (144.6922235 -37.8206228),28537,3104.58,320.19
17754486,POINT (144.6709683 -37.8671042),21641,191.91,27.63
17754467,POINT (145.0565945 -37.6663445),2317,344.29,82.63
17754455,POINT (143.8087028 -37.5228656),23146,236.98,30.51
17754454,POINT (144.9208482 -37.6456028),8114,519.61,110.97
17754448,POINT (144.9414751 -37.7596004),46745,90.6,13.05
17754447,POINT (145.0114691 -37.8088304),135,713.37,100.84
17754440,POINT (145.179203 -38.0971047),2962,528.56,110.28
17754427,POINT (144.3129988 -36.7247664),36170,546.77,81.72
17754423,POINT (144.8636892 -37.763827),10782,115.05,26.27
17754422,POINT (145.0323547 -37.8283482),19301,60.7,4.37
17754418,POINT (144.9396271 -37.7901721),26169,173.4,29.93
17754392,POINT (145.0272145 -37.7748161),4792,271.37,29.84
17754384,POINT (144.9708456 -37.7941105),350,134.41,17.24
17754372,POINT (147.6494302 -37.8248889),37886,229.76,55.14
17754366,POINT (144.3782042 -38.0081747),30066,1562.24,125.01
17754357,POINT (145.2775577 -38.0961436),16226,360.06,84.46
17754356,POINT (144.95949 -37.8267241),343,81.69,15.54
17754355,POINT (145.0829575 -37.8749089),9381,1152.64,179.97
17754344,POINT (145.3401558 -38.5254711),43995,721.84,134.77
17754325,POINT (144.9532538 -37.8140428),19549,254.89,45.37
17754313,POINT (145.0545985 -37.9397393),15954,59.57,9.24
17754291,POINT (145.5611675 -38.36471179999999),38068,2186.86,120.18
17754278,POINT (144.5807809 -37.6935777),6590,565.98,115.85
17754275,POINT (146.2598223 -38.1787687),32147,334.8,30.54
17754272,POINT (145.131053 -37.8199584),5268,494.84,69.71
17754268,POINT (144.9307399 -37.7825298),19263,304.7,50.0
