property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,suburb,year,quarter,address
16986951,450.0,4,1,2,House,ballarat central,2024,3,"South Street Ballarat, Central, VIC 3350"
17089615,400.0,1,1,1,Apartment / Unit / Flat,ballarat central,2024,3,"25 Johnson Street Ballarat, Central, VIC 3350"
17100629,480.0,3,1,1,House,ballarat central,2024,3,"Johnson Street Ballarat, Central, VIC 3350"
17111160,300.0,2,1,1,Apartment / Unit / Flat,ballarat central,2024,3,"430 Ligar Street Ballarat, Central, VIC 3350"
17111935,380.0,2,1,1,Apartment / Unit / Flat,ballarat central,2024,3,"506 Dana Street Ballarat, Central, VIC 3350"
17114580,360.0,3,1,2,House,ballarat central,2024,3,"Ascot Street South Ballarat, Central, VIC 3350"
17120924,410.0,3,1,2,House,ballarat central,2024,3,"Macarthur Street Ballarat, Central, VIC 3350"
17121450,310.0,1,1,1,House,ballarat central,2024,3,"Tong Way Place Ballarat, Central, VIC 3350"
17126482,450.0,3,2,1,House,ballarat central,2024,3,"Errard Street South Ballarat, Central, VIC 3350"
17132791,380.0,2,1,1,House,ballarat central,2024,3,"123b Albert Street Ballarat, Central, VIC 3350"
17135049,460.0,3,2,1,House,ballarat central,2024,3,"Creswick Road Ballarat, Central, VIC 3350"
17148035,400.0,2,1,2,House,ballarat central,2024,3,"Errard Street South Ballarat, Central, VIC 3350"
17149448,450.0,2,1,1,Apartment / Unit / Flat,ballarat central,2024,3,"11 Davey Street Ballarat, Central, VIC 3350"
17155947,340.0,2,1,1,Apartment / Unit / Flat,ballarat central,2024,3,"16 Kent Street Ballarat, Central, VIC 3350"
17157366,395.0,3,1,2,House,ballarat central,2024,3,"114b Hickman Street Ballarat, Central, VIC 3350"
17163340,410.0,3,1,2,House,ballarat central,2024,3,"Skipton Street Ballarat, Central, VIC 3350"
17164273,350.0,2,1,1,Apartment / Unit / Flat,ballarat central,2024,3,"127 Albert Street Ballarat, Central, VIC 3350"
17164421,330.0,3,1,1,House,ballarat central,2024,3,"Talbot Street Ballarat, Central, VIC 3350"
15557700,580.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"109 Balwyn Road, Balwyn, VIC 3103"
15681869,600.0,2,2,1,Apartment / Unit / Flat,balwyn,2024,3,"188 Whitehorse Road, Balwyn, VIC 3103"
17052301,400.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"31 Barnsbury Road, Balwyn, VIC 3103"
17103627,730.0,3,2,2,Apartment / Unit / Flat,balwyn,2024,3,"2 Head Street, Balwyn, VIC 3103"
17106708,1250.0,4,2,2,House,balwyn,2024,3,"337a Union Road, Balwyn, VIC 3103"
17111854,670.0,3,2,1,Apartment / Unit / Flat,balwyn,2024,3,"11b Grey Street, Balwyn, VIC 3103"
17112812,550.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"8 Kalimna Street, Balwyn, VIC 3103"
17113056,550.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"8 Kalimna Street, Balwyn, VIC 3103"
17126175,720.0,2,2,1,Apartment / Unit / Flat,balwyn,2024,3,"184 Whitehorse Road, Balwyn, VIC 3103"
17135800,600.0,3,1,2,House,balwyn,2024,3,"Caravan Street, Balwyn, VIC 3103"
17138940,2300.0,5,3,2,House,balwyn,2024,3,"Winmalee Road, Balwyn, VIC 3103"
17140306,600.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"30 Kalimna Street, Balwyn, VIC 3103"
17140313,600.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"30 Kalimna Street, Balwyn, VIC 3103"
17141154,600.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"34 Yerrin Street, Balwyn, VIC 3103"
17141162,600.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"34 Yerrin Street, Balwyn, VIC 3103"
17143707,550.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"20 Jurang Street, Balwyn, VIC 3103"
17143720,550.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"20 Jurang Street, Balwyn, VIC 3103"
17144975,648.0,2,2,1,Apartment / Unit / Flat,balwyn,2024,3,"201 Whitehorse Road, Balwyn, VIC 3103"
17145262,680.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"216 Belmore Road, Balwyn, VIC 3103"
17146995,600.0,2,1,1,Apartment / Unit / Flat,balwyn,2024,3,"15 Mangan Street, Balwyn, VIC 3103"
15199546,650.0,2,2,1,Apartment / Unit / Flat,cheltenham,2024,3,"11 Maude Street, Cheltenham, VIC 3192"
15664262,630.0,3,1,1,House,hampton-beaumaris,2024,3,"Alfred Street, Beaumaris, VIC 3193"
16193236,1450.0,6,3,2,House,hampton-beaumaris,2024,3,"Bellaire Court, Beaumaris, VIC 3193"
17152550,1375.0,4,3,2,House,hampton-beaumaris,2024,3,"511 Balcombe Road, Beaumaris, VIC 3193"
