property_id,coordinates,driving_5min,driving_10min,driving_15min,walking_5min,walking_10min,walking_15min
16336743,POINT (-37.8095435 145.2533723),,,,,,
15889337,POINT (-37.8091729 145.2522769),,,,,,
17752136,POINT (-37.8037875 145.2575013),,,,,,
17735563,POINT (-37.80693 145.2168026),,,,,,
17733960,POINT (-37.8027497 145.2277468),,,,,,
17433725,POINT (-37.8759668 144.9965119),,,,,,
17308753,POINT (-38.12100239999999 144.3548536),,,,,,
17695778,POINT (-34.6263558 142.736378),,,,,,
17732924,POINT (-37.7357625 144.6426973),,,,,,
17747077,POINT (-37.7420091 144.6674262),,,,,,
17650427,POINT (-37.7399791 144.6535472),,,,,,
17576091,POINT (-37.7423546 144.6443047),,,,,,
17752415,POINT (-37.7388812 144.6463759),,,,,,
17629270,POINT (-37.7420716 144.6644391),,,,,,
17757340,POINT (-37.7432656 144.6467177),,,,,,
17748218,POINT (-37.7390969 144.6517629),,,,,,
17654076,POINT (-37.741273 144.6592988),,,,,,
17359952,POINT (-37.7424076 144.6590322),,,,,,
17710120,POINT (-37.7379359 144.6557536),,,,,,
17744734,POINT (-37.7390167 144.6503852),,,,,,
17671193,POINT (-37.7414113 144.6638277),,,,,,
17757693,POINT (-37.7391679 144.6517385),,,,,,
17084336,POINT (-37.7386905 144.648264),,,,,,
17686426,POINT (-37.7430347 144.6640165),,,,,,
17073623,POINT (-37.7438114 144.663418),,,,,,
17744780,POINT (-37.7392836 144.6508186),,,,,,
16312279,POINT (-37.7337526 144.6600802),,,,,,
17715702,POINT (-37.7325153 144.6469052),,,,,,
17754603,POINT (-37.7209488 144.6575609),,,,,,
17077231,POINT (-37.7435611 144.6635266),,,,,,
17731923,POINT (-37.7392497 144.6503466),,,,,,
15815355,POINT (-37.7404992 144.6642839),,,,,,
17623186,POINT (-37.7230332 144.6388293),,,,,,
17101713,POINT (-37.7431337 144.6635309),,,,,,
17751493,POINT (-37.7427319 144.6428718),,,,,,
17750470,POINT (-37.7405277 144.6549492),,,,,,
17675422,POINT (-37.7355044 144.6427386),,,,,,
17751603,POINT (-37.7457888 145.0595579),,,,,,
17756441,POINT (-37.7466935 145.0627641),,,,,,
17710127,POINT (-37.7341688 145.0605936),,,,,,
17598583,POINT (-37.7459034 145.0718604),,,,,,
17742266,POINT (-37.7447679 145.0749253),,,,,,
17743467,POINT (-37.7458653 145.0631604),,,,,,
17665285,POINT (-37.735141 145.07594),,,,,,
17711345,POINT (-37.3499819 144.7468146),,,,,,
17723683,POINT (-38.3661931 144.8971704),,,,,,
17740761,POINT (-38.3540201 144.9093046),,,,,,
17696037,POINT (-38.3528735 144.9162279),,,,,,
