bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
2,13296116.0,2022,POINT (144.994023 -37.870698),wayback,2,1,550.0,balaclava,144.994023,1,-37.870698,Apartment / Unit / Flat
3,17453248.0,2025,POINT (144.999259 -37.867319),wayback,1,2,780.0,balaclava,144.999259,1,-37.867319,Apartment / Unit / Flat
3,17505977.0,2025,POINT (144.996048 -37.872563),wayback,1,1,650.0,balaclava,144.996048,1,-37.872563,Apartment / Unit / Flat
1,16855385.0,2024,POINT (143.854438 -37.562251),wayback,1,1,440.0,ballarat central,143.854438,1,-37.562251,Apartment / Unit / Flat
1,17239636.0,2024,POINT (143.846013 -37.566808),wayback,3,1,320.0,ballarat central,143.846013,1,-37.566808,Apartment / Unit / Flat
2,17149448.0,2024,POINT (143.853084 -37.558044),wayback,3,1,450.0,ballarat central,143.853084,1,-37.558044,Apartment / Unit / Flat
2,17429843.0,2025,POINT (143.849625 -37.551623),wayback,1,1,340.0,ballarat central,143.849625,1,-37.551623,Apartment / Unit / Flat
2,17155947.0,2024,POINT (143.83927 -37.562736),wayback,3,1,340.0,ballarat central,143.83927,1,-37.562736,Apartment / Unit / Flat
2,16792588.0,2024,POINT (143.837617 -37.568861),wayback,1,2,450.0,ballarat central,143.837617,2,-37.568861,Apartment / Unit / Flat
2,16883857.0,2024,POINT (143.860049 -37.561895),wayback,1,1,295.0,ballarat central,143.860049,1,-37.561895,Apartment / Unit / Flat
2,15879777.0,2022,POINT (143.856996 -37.562471),wayback,2,1,500.0,ballarat central,143.856996,1,-37.562471,Apartment / Unit / Flat
3,15856115.0,2022,POINT (143.858234 -37.562938),wayback,2,2,525.0,ballarat central,143.858234,1,-37.562938,Apartment / Unit / Flat
2,15067145.0,2024,POINT (143.875994 -37.560152),wayback,2,1,270.0,ballarat east,143.875994,1,-37.560152,Apartment / Unit / Flat
3,17026650.0,2024,POINT (143.887306 -37.569961),wayback,2,2,420.0,ballarat east,143.887306,1,-37.569961,Apartment / Unit / Flat
1,17427548.0,2025,POINT (143.86902 -37.543588),wayback,1,1,315.0,ballarat north,143.86902,1,-37.543588,Apartment / Unit / Flat
2,17227486.0,2024,POINT (143.874039 -37.540744),wayback,3,1,380.0,ballarat north,143.874039,1,-37.540744,Apartment / Unit / Flat
2,14203388.0,2022,POINT (143.865819 -37.537036),wayback,2,1,300.0,ballarat north,143.865819,2,-37.537036,Apartment / Unit / Flat
2,17435526.0,2025,POINT (145.076983 -37.78506),wayback,1,1,750.0,balwyn north,145.076983,1,-37.78506,Apartment / Unit / Flat
2,14751408.0,2022,POINT (145.084946 -37.791501),wayback,2,1,425.0,balwyn north,145.084946,1,-37.791501,Apartment / Unit / Flat
2,17522850.0,2025,POINT (145.062776 -37.800589),wayback,1,1,500.0,balwyn north,145.062776,1,-37.800589,Apartment / Unit / Flat
2,17540113.0,2025,POINT (145.06379 -37.795307),wayback,1,2,650.0,balwyn north,145.06379,1,-37.795307,Apartment / Unit / Flat
3,16908751.0,2024,POINT (145.073252 -37.789848),wayback,1,2,680.0,balwyn north,145.073252,1,-37.789848,Apartment / Unit / Flat
3,15888391.0,2022,POINT (145.096039 -37.799297),wayback,2,2,710.0,balwyn north,145.096039,2,-37.799297,Apartment / Unit / Flat
1,15952498.0,2022,POINT (145.075864 -37.812351),wayback,2,1,400.0,balwyn,145.075864,1,-37.812351,Apartment / Unit / Flat
2,17112812.0,2024,POINT (145.078612 -37.810879),wayback,3,1,550.0,balwyn,145.078612,1,-37.810879,Apartment / Unit / Flat
2,15557700.0,2024,POINT (145.081312 -37.81155),wayback,3,1,580.0,balwyn,145.081312,1,-37.81155,Apartment / Unit / Flat
2,17143720.0,2024,POINT (145.083968 -37.811046),wayback,3,1,550.0,balwyn,145.083968,1,-37.811046,Apartment / Unit / Flat
2,16813354.0,2025,POINT (145.075864 -37.812351),wayback,1,2,620.0,balwyn,145.075864,1,-37.812351,Apartment / Unit / Flat
2,15937582.0,2022,POINT (145.076851 -37.812923),wayback,2,1,400.0,balwyn,145.076851,2,-37.812923,Apartment / Unit / Flat
2,17141154.0,2024,POINT (145.085003 -37.810494),wayback,3,1,600.0,balwyn,145.085003,1,-37.810494,Apartment / Unit / Flat
2,15681869.0,2024,POINT (145.075864 -37.812351),wayback,3,2,600.0,balwyn,145.075864,1,-37.812351,Apartment / Unit / Flat
2,15922931.0,2022,POINT (145.086075 -37.813576),wayback,2,1,440.0,balwyn,145.086075,1,-37.813576,Apartment / Unit / Flat
2,17529253.0,2025,POINT (145.084075 -37.804228),wayback,1,2,650.0,balwyn,145.084075,1,-37.804228,Apartment / Unit / Flat
2,15855342.0,2022,POINT (145.071215 -37.803033),wayback,2,1,425.0,balwyn,145.071215,1,-37.803033,Apartment / Unit / Flat
2,17052301.0,2024,POINT (145.081537 -37.810875),wayback,3,1,400.0,balwyn,145.081537,1,-37.810875,Apartment / Unit / Flat
2,15906954.0,2022,POINT (145.087768 -37.806267),wayback,2,1,435.0,balwyn,145.087768,1,-37.806267,Apartment / Unit / Flat
2,17126175.0,2024,POINT (145.075367 -37.812292),wayback,3,2,720.0,balwyn,145.075367,1,-37.812292,Apartment / Unit / Flat
2,17143707.0,2024,POINT (145.083968 -37.811046),wayback,3,1,550.0,balwyn,145.083968,1,-37.811046,Apartment / Unit / Flat
3,17111854.0,2024,POINT (145.064526 -37.805627),wayback,3,2,670.0,balwyn,145.064526,1,-37.805627,Apartment / Unit / Flat
3,15921467.0,2022,POINT (145.075798 -37.808436),wayback,2,2,680.0,balwyn,145.075798,1,-37.808436,Apartment / Unit / Flat
2,17633375.0,2025,POINT (144.170621 -38.049809),wayback,2,1,395.0,bannockburn,144.170621,2,-38.049809,Apartment / Unit / Flat
2,15983552.0,2022,POINT (146.955659 -36.19696),wayback,3,1,280.0,baranduda,146.955659,1,-36.19696,Apartment / Unit / Flat
