bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
4,17719559,2025,POINT (145.3937439 -38.0512877),live,3,2,630.0,officer,145.3937439,2,-38.0512877,house
5,17721302,2025,POINT (145.3951249 -38.0719168),live,3,3,680.0,officer,145.3951249,2,-38.0719168,house
4,17723991,2025,POINT (145.4066087 -38.05021199999999),live,3,2,600.0,officer,145.4066087,2,-38.05021199999999,house
4,17724388,2025,POINT (145.4120779 -38.0748226),live,3,2,600.0,officer,145.4120779,2,-38.0748226,house
4,17202851,2025,POINT (145.3887866 -38.0649647),live,3,2,590.0,officer,145.3887866,2,-38.0649647,house
3,17738222,2025,POINT (145.3996246 -38.0612393),live,3,2,550.0,officer,145.3996246,2,-38.0612393,house
3,17740728,2025,POINT (145.416358 -38.0752563),live,3,2,570.0,officer,145.416358,2,-38.0752563,house
4,17741952,2025,POINT (145.3978745 -38.0689994),live,3,2,640.0,officer,145.3978745,2,-38.0689994,house
5,17750944,2025,POINT (145.429385 -38.0633722),live,3,2,800.0,officer,145.429385,2,-38.0633722,house
4,17751589,2025,POINT (145.4320096 -38.0731559),live,3,2,585.0,officer,145.4320096,2,-38.0731559,house
4,17751724,2025,POINT (145.3899463 -38.06513229999999),live,3,2,600.0,officer,145.3899463,2,-38.06513229999999,house
4,17752133,2025,POINT (145.4279216 -38.0631435),live,3,2,660.0,officer,145.4279216,2,-38.0631435,house
4,17704308,2025,POINT (145.3931304 -38.0632196),live,3,2,650.0,officer,145.3931304,2,-38.0632196,house
4,17171763,2025,POINT (145.3996934 -38.0658357),live,3,2,650.0,officer,145.3996934,2,-38.0658357,house
3,17725444,2025,POINT (145.3932899 -38.065969),live,3,2,570.0,officer,145.3932899,1,-38.065969,house
3,17728408,2025,POINT (145.4083221 -38.0577472),live,3,2,560.0,officer,145.4083221,2,-38.0577472,house
4,15875082,2025,POINT (145.3910278 -38.067975),live,3,2,580.0,officer,145.3910278,2,-38.067975,house
3,15767872,2025,POINT (145.3870871 -38.0681704),live,3,2,560.0,officer,145.3870871,1,-38.0681704,house
5,17753065,2025,POINT (145.4370843 -38.0516031),live,3,2,700.0,officer,145.4370843,2,-38.0516031,house
3,17754052,2025,POINT (145.4037252 -38.0610611),live,3,2,500.0,officer,145.4037252,1,-38.0610611,townhouse
3,17754787,2025,POINT (145.4326899 -38.0732091),live,3,2,575.0,officer,145.4326899,1,-38.0732091,house
3,17755892,2025,POINT (145.4265847 -38.0684874),live,3,2,590.0,officer,145.4265847,2,-38.0684874,house
3,17757431,2025,POINT (145.4303972 -38.0673694),live,3,2,550.0,officer,145.4303972,2,-38.0673694,house
4,17757641,2025,POINT (145.398793 -38.0678701),live,3,2,670.0,officer,145.398793,2,-38.0678701,house
4,17758021,2025,POINT (145.3916311 -38.0549295),live,3,2,650.0,officer,145.3916311,2,-38.0549295,house
4,14084925,2025,POINT (145.4041591 -38.0583315),live,3,2,600.0,officer,145.4041591,2,-38.0583315,house
4,17742220,2025,POINT (145.4030867 -38.0638401),live,3,2,600.0,officer,145.4030867,2,-38.0638401,house
3,17743990,2025,POINT (145.4372033 -38.05813089999999),live,3,2,750.0,officer,145.4372033,2,-38.05813089999999,house
4,17714923,2025,POINT (145.408804 -38.0566605),live,3,2,590.0,officer,145.408804,2,-38.0566605,house
3,17732290,2025,POINT (145.4088113 -38.0575217),live,3,2,580.0,officer,145.4088113,1,-38.0575217,house
4,17732472,2025,POINT (145.3979869 -38.0721363),live,3,2,675.0,officer,145.3979869,2,-38.0721363,house
3,17733045,2025,POINT (145.4087439 -38.0575125),live,3,2,580.0,officer,145.4087439,1,-38.0575125,house
3,16015153,2025,POINT (145.4342797 -38.0742609),live,3,2,530.0,officer,145.4342797,2,-38.0742609,townhouse
3,17743321,2025,POINT (145.3890002 -38.0633932),live,3,2,530.0,officer,145.3890002,2,-38.0633932,house
2,16817010,2025,POINT (145.4293126 -38.0743248),live,3,1,530.0,officer,145.4293126,1,-38.0743248,apartment / unit / flat
4,16630835,2025,POINT (145.4080791 -38.0567109),live,3,2,620.0,officer,145.4080791,2,-38.0567109,house
4,15478712,2025,POINT (145.4268316 -38.07574),live,3,2,600.0,officer,145.4268316,2,-38.07574,house
4,16983027,2025,POINT (145.4057792 -38.0510783),live,3,2,650.0,officer,145.4057792,2,-38.0510783,house
3,17755157,2025,POINT (145.4226692 -38.0764007),live,3,2,510.0,officer,145.4226692,2,-38.0764007,house
4,17757581,2025,POINT (145.422242 -38.0815779),live,3,2,650.0,officer,145.422242,2,-38.0815779,house
3,17664901,2025,POINT (144.5416825 -38.269552),live,3,2,530.0,ocean grove-barwon heads,144.5416825,2,-38.269552,house
3,17701799,2025,POINT (144.5483079 -38.2490201),live,3,2,620.0,ocean grove-barwon heads,144.5483079,2,-38.2490201,townhouse
2,17711286,2025,POINT (144.5309467 -38.2678799),live,3,1,480.0,ocean grove-barwon heads,144.5309467,1,-38.2678799,apartment / unit / flat
4,17736696,2025,POINT (144.5626363 -38.2492485),live,3,2,650.0,ocean grove-barwon heads,144.5626363,2,-38.2492485,house
4,17738318,2025,POINT (144.5408058 -38.239404),live,3,2,630.0,ocean grove-barwon heads,144.5408058,2,-38.239404,house
4,17743296,2025,POINT (144.5239638 -38.2686189),live,3,2,980.0,ocean grove-barwon heads,144.5239638,2,-38.2686189,townhouse
4,17747853,2025,POINT (144.5577365 -38.2509527),live,3,2,640.0,ocean grove-barwon heads,144.5577365,2,-38.2509527,house
3,17751351,2025,POINT (144.5266861 -38.2590637),live,3,1,520.0,ocean grove-barwon heads,144.5266861,2,-38.2590637,house
3,17647844,2025,POINT (144.5513507 -38.2540845),live,3,1,550.0,ocean grove-barwon heads,144.5513507,2,-38.2540845,house
