property_id,coordinates
16398134,POINT (-37.8508278 144.5948353)
16396767,POINT (145.0895199 -37.8919796)
16394782,POINT (-37.809678 144.9593125)
16394422,POINT (-37.7111915 144.9141611)
16394313,POINT (-37.5571986 143.7959292)
16393253,POINT (144.233062 -37.332712)
16391786,POINT (145.2409968 -37.7980398)
16390747,POINT (-37.931007 145.1278853)
16389340,POINT (145.2408182 -36.440078)
16388293,POINT (145.994229 -36.551551)
16388072,POINT (145.962513 -36.546953)
16387990,POINT (144.5525251 -38.1603539)
16387593,POINT (144.75516 -37.862402)
16387383,POINT (145.8259113 -38.4300538)
16387357,POINT (145.281304 -37.899649)
16386883,POINT (145.996788 -36.559001)
16386712,POINT (144.724155 -37.84437)
16386692,POINT (144.75 -37.81667)
16386262,POINT (144.709559 -37.829675)
16385666,POINT (145.0755174 -37.7367281)
16385207,POINT (144.753408 -37.858825)
16384888,POINT (144.738842 -37.844473)
16384857,POINT (144.7427 -37.861598)
16383576,POINT (144.75 -37.81667)
16383545,POINT (144.955791 -37.819944)
16382912,POINT (144.978224 -37.76783)
16382615,POINT (145.0057782 -38.3042353)
16382421,POINT (145.963951 -36.555898)
16382193,POINT (144.977866 -37.768724)
16381724,POINT (-37.872443 144.9990319)
16381494,POINT (144.972878 -37.77565)
16381128,POINT (144.981286 -37.773712)
16381043,POINT (-38.3320506 143.7842575)
16380126,POINT (145.248724 -37.920722)
16379699,POINT (-37.9218243 145.1064216)
16379269,POINT (-37.8089991 144.9610792)
16378897,POINT (144.991904 -37.8673424)
16378401,POINT (-37.8082467 144.9676408)
16378322,POINT (-37.9696946 145.191767)
16377399,POINT (145.161332 -37.923502)
16376743,POINT (144.726122 -37.859032)
16376643,POINT (145.168008 -37.890195)
16376497,POINT (144.8604621 -38.3696476)
16375139,POINT (-38.127058 145.3787195)
16374845,POINT (145.230845 -37.925176)
16374777,POINT (144.739602 -37.854891)
16374327,POINT (145.5969786 -38.6055122)
16374215,POINT (145.985931 -36.541693)
16374111,POINT (144.970688 -37.778832)
16372793,POINT (-37.8229226 144.9639272)
16371918,POINT (143.8889875 -37.4241431)
16371727,POINT (145.0578242 -37.7974044)
16371142,POINT (-37.8073387 144.9667765)
16368748,POINT (-38.1771923 144.3253036)
16364943,POINT (144.747387 -37.859553)
16364609,POINT (145.1239382 -37.5833565)
16363872,POINT (145.3090531 -36.5139828)
16363723,POINT (145.264421 -37.927372)
16360935,POINT (-38.0463004 145.2599004)
16360424,POINT (144.956595 -37.820854)
16359128,POINT (146.8986108 -36.1575142)
16358965,POINT (144.962367 -37.813122)
16357871,POINT (144.957827 -37.820019)
16357466,POINT (-38.5285997 145.3778981)
16356471,POINT (144.956595 -37.820854)
16355875,POINT (144.958792 -37.811419)
16353951,POINT (144.963454 -37.816611)
16352935,POINT (144.96674 -37.80852)
16352055,POINT (145.0396096 -38.2324072)
16351667,POINT (143.7847261 -37.579091)
16351569,POINT (144.960692 -37.809478)
16351553,POINT (144.960479 -37.818652)
16350527,POINT (-37.7132315 144.9876052)
16347581,POINT (-37.8475174 145.1244988)
16346164,POINT (144.5537798 -37.7855789)
16345775,POINT (-37.8171016 145.1234163)
16345322,POINT (142.0302561 -37.7543998)
16343243,POINT (-37.809678 144.9593125)
16342356,POINT (145.1263391 -37.9296801)
16342228,POINT (-36.75945919999999 144.2646324)
16342112,POINT (147.7080661 -37.9088182)
16340745,POINT (-38.1265191 145.3340701)
16339590,POINT (145.241098 -37.934086)
16339172,POINT (-37.6228368 144.6969881)
16338665,POINT (145.000929 -37.590873)
16337659,POINT (144.922051 -37.6912215)
16336743,POINT (-37.8095435 145.2533723)
16336207,POINT (-37.9825304 145.2227846)
16336185,POINT (145.1096076 -37.9261035)
16332267,POINT (144.7903234 -37.7573114)
16331212,POINT (145.069427 -37.6350394)
16330399,POINT (144.9791622 -37.7954881)
16329538,POINT (-38.0720074 145.12213)
16329537,POINT (144.9776993 -37.8670068)
16326789,POINT (144.9791622 -37.7954881)
16326528,POINT (145.1243078 -37.7886469)
16325157,POINT (-37.7545537 145.053211)
16324852,POINT (142.9350168 -37.2864944)
16324463,POINT (144.961051 -37.811813)
16323473,POINT (144.878006 -37.8268792)
16323394,POINT (-36.2814854 146.2544717)
16320317,POINT (-38.3630308 142.4705718)
16319136,POINT (-37.6229508 145.0376925)
16318223,POINT (-38.368004 144.8993981)
16317888,POINT (144.752271 -37.862121)
16316289,POINT (144.8845681 -37.8212826)
16315844,POINT (145.9527932 -38.1493346)
16315661,POINT (144.7058384 -37.9658924)
16315576,POINT (-34.2134152 142.1509869)
16315031,POINT (145.6158427 -38.6690759)
16314902,POINT (-38.0763436 145.2575801)
16314790,POINT (145.594709 -38.5831822)
16314708,POINT (-37.8649256 144.9960101)
16313808,POINT (144.9829973 -37.4702829)
16312570,POINT (144.8982745 -37.5366801)
16312279,POINT (-37.7337526 144.6600802)
16309318,POINT (-37.7847227 144.9764097)
16308436,POINT (-37.7999326 144.9538646)
16306969,POINT (-37.6196258 144.8758762)
