property_id,longitude,latitude,coordinates
16956102,145.04281,-37.765211,POINT (-37.765211 145.04281)
16956606,145.04639,-37.771641,POINT (-37.771641 145.04639)
16956648,145.04281,-37.765211,POINT (-37.765211 145.04281)
16956954,145.040229,-37.770758,POINT (-37.770758 145.040229)
16958036,145.040834,-37.76477,POINT (-37.76477 145.040834)
16960597,145.03969,-37.764776,POINT (-37.764776 145.03969)
16962025,145.041308,-37.767295,POINT (-37.767295 145.041308)
16962236,145.029373,-37.76228,POINT (-37.76228 145.029373)
16962498,145.038208,-37.775531,POINT (-37.775531 145.038208)
16962607,145.035258,-37.75911,POINT (-37.75911 145.035258)
16965271,145.042688,-37.769144,POINT (-37.769144 145.042688)
16770162,143.13794,-38.235298,POINT (-38.235298 143.13794)
16863349,143.144424,-38.229529,POINT (-38.229529 143.144424)
16888267,143.138392,-38.23939,POINT (-38.23939 143.138392)
16897045,143.138392,-38.23939,POINT (-38.23939 143.138392)
16974353,145.428165,-38.412494,POINT (-38.412494 145.428165)
14716772,144.777412,-37.851704,POINT (-37.851704 144.777412)
14819448,144.773988,-37.864003,POINT (-37.864003 144.773988)
16780158,144.767291,-37.863636,POINT (-37.863636 144.767291)
16823706,144.774163,-37.850876,POINT (-37.850876 144.774163)
16825016,144.775648,-37.851822,POINT (-37.851822 144.775648)
16827761,144.772698,-37.853055,POINT (-37.853055 144.772698)
16833902,144.77956,-37.848908,POINT (-37.848908 144.77956)
16834980,144.774018,-37.857378,POINT (-37.857378 144.774018)
16836306,144.771846,-37.860469,POINT (-37.860469 144.771846)
16838322,144.777152,-37.856012,POINT (-37.856012 144.777152)
16848155,144.7749,-37.853218,POINT (-37.853218 144.7749)
16850123,144.771089,-37.861247,POINT (-37.861247 144.771089)
16859845,144.768278,-37.862654,POINT (-37.862654 144.768278)
16860932,144.771955,-37.851604,POINT (-37.851604 144.771955)
16861804,144.772524,-37.860453,POINT (-37.860453 144.772524)
16862613,144.771089,-37.861247,POINT (-37.861247 144.771089)
16866493,144.767381,-37.85928,POINT (-37.85928 144.767381)
16867122,144.768599,-37.862957,POINT (-37.862957 144.768599)
16577477,144.85898,-37.803234,POINT (-37.803234 144.85898)
16909765,144.879236,-37.783413,POINT (-37.783413 144.879236)
16929101,144.868032,-37.784112,POINT (-37.784112 144.868032)
16929239,144.869023,-37.78093,POINT (-37.78093 144.869023)
16930721,144.879019,-37.784052,POINT (-37.784052 144.879019)
16931165,144.876871,-37.786296,POINT (-37.786296 144.876871)
16937621,144.868427,-37.785819,POINT (-37.785819 144.868427)
16940327,144.878696,-37.787656,POINT (-37.787656 144.878696)
16943363,144.870309,-37.784485,POINT (-37.784485 144.870309)
16949263,144.878262,-37.790715,POINT (-37.790715 144.878262)
16950198,144.872925,-37.785962,POINT (-37.785962 144.872925)
