property_id,coordinates,stationid,min_route_dist_m,min_route_dur_s
15869967,POINT (144.724864 -37.842162),45883,80.01,11.55
15879197,POINT (144.720802 -37.846473),45884,500.47,77.33
15881630,POINT (144.720603 -37.864211),6981,4854.0,590.02
15882807,POINT (144.708844 -37.821331),27987,1993.29,224.09
15883178,POINT (144.706884 -37.835018),27987,575.47,88.09
15884134,POINT (144.726797 -37.825555),27995,1791.36,245.73
15885930,POINT (144.740368 -37.843693),28006,83.19,17.18
15888377,POINT (144.731413 -37.849626),50251,409.33,39.71
12427906,POINT (144.882002 -37.705015),42277,389.02,94.02
12857566,POINT (144.876194 -37.698009),9547,308.47,72.83
14801025,POINT (144.879115 -37.702605),7269,82.43,19.78
14982395,POINT (144.875388 -37.693811),7390,170.74,18.28
15857483,POINT (144.882352 -37.705921),42277,355.96,86.09
15871333,POINT (144.884089 -37.705527),42277,221.31,53.77
15881503,POINT (144.879257 -37.698778),9547,118.77,27.3
15892323,POINT (144.878331 -37.704997),7268,115.03,27.6
15303964,POINT (145.064264 -37.756922),5550,123.32,17.27
15830842,POINT (145.059664 -37.754165),39,170.15,22.39
15903542,POINT (145.059664 -37.754165),39,170.15,22.39
14642697,POINT (145.41413 -36.351923),43598,211.07,50.65
15946403,POINT (145.409833 -36.399984),43631,66.96,10.7
15947113,POINT (145.399153 -36.391841),43695,385.07,74.87
15947691,POINT (145.41413 -36.351923),43598,211.07,50.65
15960576,POINT (145.406836 -36.36548),43522,85.49,12.31
15961071,POINT (145.380106 -36.359734),43513,59.1,8.51
15965527,POINT (145.400172 -36.386937),43644,188.3,27.11
15966329,POINT (145.411912 -36.388577),43623,6.26,0.45
15966647,POINT (145.415904 -36.398347),43666,112.39,24.96
15299488,POINT (145.250618 -37.855184),15395,402.97,31.57
15549012,POINT (145.249425 -37.862113),15399,36.37,3.27
15639514,POINT (145.23941 -37.871086),,,
15717335,POINT (145.244448 -37.860303),15222,409.75,56.06
15836608,POINT (145.247248 -37.85906),15397,621.31,92.74
15844448,POINT (145.247694 -37.855327),15395,721.92,87.13
15866888,POINT (145.222439 -37.879127),16817,359.27,86.22
15881911,POINT (145.21516 -37.867984),15928,4.81,0.43
15883103,POINT (145.232605 -37.874967),15162,307.61,28.59
15887651,POINT (145.235816 -37.869449),,,
15889236,POINT (143.84117 -37.53496),35098,141.96,21.09
15892794,POINT (143.837777 -37.537278),50324,279.67,66.31
15892955,POINT (143.825632 -37.521581),50315,13.72,0.99
15904405,POINT (143.821958 -37.525483),50312,156.16,31.9
15933170,POINT (143.822924 -37.529363),50364,231.36,44.4
15936296,POINT (143.836085 -37.530941),50320,329.47,38.59
15952341,POINT (143.818818 -37.534382),23166,104.15,14.6
15958792,POINT (143.837905 -37.53475),35099,250.92,38.14
