Statistic,Value,Suburb
Average number of persons per bedroom,0.7,Barfold
Average household size,2.5,Barfold
Median age of persons,35.0,Ballangeich
Median total personal income ($/weekly),1034.0,Ballangeich
Median total family income ($/weekly),2187.0,Ballangeich
Median total household income ($/weekly),2062.0,Ballangeich
Median mortgage repayment ($/monthly),1659.0,Ballangeich
Median rent ($/weekly)(a),150.0,Ballangeich
Average number of persons per bedroom,1.0,Ballangeich
Average household size,3.2,Ballangeich
Median age of persons,49.0,Bridgewater North
Median total personal income ($/weekly),537.0,Bridgewater North
Median total family income ($/weekly),1625.0,Bridgewater North
Median total household income ($/weekly),1624.0,Bridgewater North
Median mortgage repayment ($/monthly),1067.0,Bridgewater North
Median rent ($/weekly)(a),345.0,Bridgewater North
Average number of persons per bedroom,0.7,Bridgewater North
Average household size,2.8,Bridgewater North
Median age of persons,56.0,Chapple Vale
Median total personal income ($/weekly),725.0,Chapple Vale
Median total family income ($/weekly),2124.0,Chapple Vale
Median total household income ($/weekly),1937.0,Chapple Vale
Median mortgage repayment ($/monthly),774.0,Chapple Vale
Median rent ($/weekly)(a),0.0,Chapple Vale
Average number of persons per bedroom,0.7,Chapple Vale
Average household size,2.4,Chapple Vale
Median age of persons,35.0,Narre Warren
Median total personal income ($/weekly),741.0,Narre Warren
Median total family income ($/weekly),1924.0,Narre Warren
Median total household income ($/weekly),1741.0,Narre Warren
Median mortgage repayment ($/monthly),1733.0,Narre Warren
Median rent ($/weekly)(a),360.0,Narre Warren
Average number of persons per bedroom,0.8,Narre Warren
Average household size,2.9,Narre Warren
Median age of persons,41.0,Delatite
Median total personal income ($/weekly),1374.0,Delatite
Median total family income ($/weekly),1624.0,Delatite
Median total household income ($/weekly),1625.0,Delatite
Median mortgage repayment ($/monthly),0.0,Delatite
Median rent ($/weekly)(a),150.0,Delatite
Average number of persons per bedroom,0.6,Delatite
Average household size,2.6,Delatite
Median age of persons,54.0,Junction Village
Median total personal income ($/weekly),498.0,Junction Village
Median total family income ($/weekly),1722.0,Junction Village
Median total household income ($/weekly),1080.0,Junction Village
Median mortgage repayment ($/monthly),1733.0,Junction Village
Median rent ($/weekly)(a),326.0,Junction Village
Average number of persons per bedroom,0.7,Junction Village
Average household size,2.2,Junction Village
Median age of persons,37.0,Tyntynder
Median total personal income ($/weekly),687.0,Tyntynder
Median total family income ($/weekly),1600.0,Tyntynder
Median total household income ($/weekly),1474.0,Tyntynder
Median mortgage repayment ($/monthly),1142.0,Tyntynder
Median rent ($/weekly)(a),160.0,Tyntynder
Average number of persons per bedroom,0.9,Tyntynder
Average household size,2.8,Tyntynder
Median age of persons,41.0,Gormandale
Median total personal income ($/weekly),684.0,Gormandale
Median total family income ($/weekly),1916.0,Gormandale
Median total household income ($/weekly),1485.0,Gormandale
Median mortgage repayment ($/monthly),1300.0,Gormandale
Median rent ($/weekly)(a),113.0,Gormandale
Average number of persons per bedroom,0.8,Gormandale
Average household size,2.5,Gormandale
Median age of persons,48.0,Sutton Grange
Median total personal income ($/weekly),716.0,Sutton Grange
Median total family income ($/weekly),1906.0,Sutton Grange
Median total household income ($/weekly),1437.0,Sutton Grange
Median mortgage repayment ($/monthly),1925.0,Sutton Grange
Median rent ($/weekly)(a),275.0,Sutton Grange
Average number of persons per bedroom,0.8,Sutton Grange
Average household size,2.5,Sutton Grange
Median age of persons,47.0,Jack River
Median total personal income ($/weekly),612.0,Jack River
Median total family income ($/weekly),1312.0,Jack River
Median total household income ($/weekly),1325.0,Jack River
Median mortgage repayment ($/monthly),1283.0,Jack River
Median rent ($/weekly)(a),228.0,Jack River
Average number of persons per bedroom,0.7,Jack River
Average household size,2.7,Jack River
Median age of persons,41.0,Rowsley
Median total personal income ($/weekly),823.0,Rowsley
Median total family income ($/weekly),2107.0,Rowsley
Median total household income ($/weekly),1937.0,Rowsley
Median mortgage repayment ($/monthly),2382.0,Rowsley
Median rent ($/weekly)(a),375.0,Rowsley
Average number of persons per bedroom,0.7,Rowsley
Average household size,2.8,Rowsley
Median age of persons,52.0,Metcalfe
Median total personal income ($/weekly),762.0,Metcalfe
Median total family income ($/weekly),1792.0,Metcalfe
Median total household income ($/weekly),1485.0,Metcalfe
Median mortgage repayment ($/monthly),1450.0,Metcalfe
Median rent ($/weekly)(a),311.0,Metcalfe
Average number of persons per bedroom,0.7,Metcalfe
Average household size,2.2,Metcalfe
Median age of persons,43.0,Ocean Grove
Median total personal income ($/weekly),856.0,Ocean Grove
Median total family income ($/weekly),2299.0,Ocean Grove
Median total household income ($/weekly),1837.0,Ocean Grove
Median mortgage repayment ($/monthly),2000.0,Ocean Grove
Median rent ($/weekly)(a),420.0,Ocean Grove
Average number of persons per bedroom,0.7,Ocean Grove
Average household size,2.5,Ocean Grove
Median age of persons,47.0,Lascelles
Median total personal income ($/weekly),706.0,Lascelles
Median total family income ($/weekly),1916.0,Lascelles
Median total household income ($/weekly),1687.0,Lascelles
Median mortgage repayment ($/monthly),382.0,Lascelles
Median rent ($/weekly)(a),100.0,Lascelles
Average number of persons per bedroom,0.8,Lascelles
Average household size,2.6,Lascelles
Median age of persons,50.0,Sarsfield
Median total personal income ($/weekly),673.0,Sarsfield
Median total family income ($/weekly),1687.0,Sarsfield
Median total household income ($/weekly),1423.0,Sarsfield
Median mortgage repayment ($/monthly),1500.0,Sarsfield
Median rent ($/weekly)(a),200.0,Sarsfield
Average number of persons per bedroom,0.8,Sarsfield
Average household size,2.5,Sarsfield
Median age of persons,49.0,Forbes (Vic.)
Median total personal income ($/weekly),782.0,Forbes (Vic.)
Median total family income ($/weekly),2062.0,Forbes (Vic.)
Median total household income ($/weekly),1625.0,Forbes (Vic.)
Median mortgage repayment ($/monthly),1907.0,Forbes (Vic.)
Median rent ($/weekly)(a),425.0,Forbes (Vic.)
Average number of persons per bedroom,0.8,Forbes (Vic.)
Average household size,2.7,Forbes (Vic.)
Median age of persons,21.0,Minmindie
Median total personal income ($/weekly),349.0,Minmindie
Median total family income ($/weekly),1625.0,Minmindie
Median total household income ($/weekly),1625.0,Minmindie
Median mortgage repayment ($/monthly),867.0,Minmindie
Median rent ($/weekly)(a),120.0,Minmindie
Average number of persons per bedroom,1.0,Minmindie
Average household size,4.0,Minmindie
Median age of persons,52.0,Fawcett
Median total personal income ($/weekly),982.0,Fawcett
Median total family income ($/weekly),2299.0,Fawcett
Median total household income ($/weekly),2035.0,Fawcett
Median mortgage repayment ($/monthly),1560.0,Fawcett
Median rent ($/weekly)(a),425.0,Fawcett
Average number of persons per bedroom,0.7,Fawcett
Average household size,2.3,Fawcett
Median age of persons,33.0,Kanagulk
Median total personal income ($/weekly),924.0,Kanagulk
Median total family income ($/weekly),2749.0,Kanagulk
Median total household income ($/weekly),2125.0,Kanagulk
Median mortgage repayment ($/monthly),1500.0,Kanagulk
Median rent ($/weekly)(a),95.0,Kanagulk
Average number of persons per bedroom,0.7,Kanagulk
Average household size,2.7,Kanagulk
Median age of persons,42.0,Grassmere
Median total personal income ($/weekly),817.0,Grassmere
Median total family income ($/weekly),2250.0,Grassmere
Median total household income ($/weekly),1937.0,Grassmere
Median mortgage repayment ($/monthly),1733.0,Grassmere
Median rent ($/weekly)(a),295.0,Grassmere
Average number of persons per bedroom,0.8,Grassmere
Average household size,2.7,Grassmere
Median age of persons,41.0,Koroit
Median total personal income ($/weekly),746.0,Koroit
Median total family income ($/weekly),1762.0,Koroit
Median total household income ($/weekly),1466.0,Koroit
Median mortgage repayment ($/monthly),1400.0,Koroit
Median rent ($/weekly)(a),280.0,Koroit
Average number of persons per bedroom,0.8,Koroit
Average household size,2.5,Koroit
Median age of persons,21.0,Hmas Cerberus
Median total personal income ($/weekly),1087.0,Hmas Cerberus
Median total family income ($/weekly),2399.0,Hmas Cerberus
Median total household income ($/weekly),2323.0,Hmas Cerberus
Median mortgage repayment ($/monthly),0.0,Hmas Cerberus
Median rent ($/weekly)(a),260.0,Hmas Cerberus
Average number of persons per bedroom,0.9,Hmas Cerberus
Average household size,3.0,Hmas Cerberus
Median age of persons,32.0,Mount Duneed
Median total personal income ($/weekly),1029.0,Mount Duneed
Median total family income ($/weekly),2440.0,Mount Duneed
Median total household income ($/weekly),2274.0,Mount Duneed
Median mortgage repayment ($/monthly),1983.0,Mount Duneed
Median rent ($/weekly)(a),446.0,Mount Duneed
Average number of persons per bedroom,0.8,Mount Duneed
Average household size,2.8,Mount Duneed
Median age of persons,24.0,East Sale
Median total personal income ($/weekly),1533.0,East Sale
Median total family income ($/weekly),4250.0,East Sale
Median total household income ($/weekly),1625.0,East Sale
Median mortgage repayment ($/monthly),737.0,East Sale
Median rent ($/weekly)(a),75.0,East Sale
Average number of persons per bedroom,0.7,East Sale
Average household size,2.1,East Sale
Median age of persons,39.0,Manifold Heights
Median total personal income ($/weekly),984.0,Manifold Heights
Median total family income ($/weekly),2485.0,Manifold Heights
Median total household income ($/weekly),1820.0,Manifold Heights
Median mortgage repayment ($/monthly),1990.0,Manifold Heights
Median rent ($/weekly)(a),310.0,Manifold Heights
Average number of persons per bedroom,0.8,Manifold Heights
Average household size,2.4,Manifold Heights
Median age of persons,46.0,Snake Valley
Median total personal income ($/weekly),638.0,Snake Valley
Median total family income ($/weekly),1518.0,Snake Valley
Median total household income ($/weekly),1226.0,Snake Valley
Median mortgage repayment ($/monthly),1275.0,Snake Valley
Median rent ($/weekly)(a),250.0,Snake Valley
Average number of persons per bedroom,0.8,Snake Valley
Average household size,2.4,Snake Valley
Median age of persons,59.0,Mount Bruno
Median total personal income ($/weekly),840.0,Mount Bruno
Median total family income ($/weekly),1812.0,Mount Bruno
Median total household income ($/weekly),1562.0,Mount Bruno
Median mortgage repayment ($/monthly),2050.0,Mount Bruno
Median rent ($/weekly)(a),0.0,Mount Bruno
Average number of persons per bedroom,0.8,Mount Bruno
Average household size,2.1,Mount Bruno
Median age of persons,40.0,Moorabool
Median total personal income ($/weekly),875.0,Moorabool
Median total family income ($/weekly),2041.0,Moorabool
Median total household income ($/weekly),1583.0,Moorabool
Median mortgage repayment ($/monthly),1625.0,Moorabool
Median rent ($/weekly)(a),350.0,Moorabool
Average number of persons per bedroom,0.7,Moorabool
Average household size,2.5,Moorabool
Median age of persons,46.0,Porepunkah
Median total personal income ($/weekly),787.0,Porepunkah
Median total family income ($/weekly),1860.0,Porepunkah
Median total household income ($/weekly),1576.0,Porepunkah
Median mortgage repayment ($/monthly),1633.0,Porepunkah
Median rent ($/weekly)(a),383.0,Porepunkah
Average number of persons per bedroom,0.8,Porepunkah
Average household size,2.5,Porepunkah
Median age of persons,34.0,Maidstone
Median total personal income ($/weekly),851.0,Maidstone
Median total family income ($/weekly),2273.0,Maidstone
Median total household income ($/weekly),1916.0,Maidstone
Median mortgage repayment ($/monthly),2000.0,Maidstone
Median rent ($/weekly)(a),381.0,Maidstone
Average number of persons per bedroom,0.9,Maidstone
Average household size,2.5,Maidstone
Median age of persons,55.0,Kithbrook
Median total personal income ($/weekly),599.0,Kithbrook
Median total family income ($/weekly),2062.0,Kithbrook
Median total household income ($/weekly),1125.0,Kithbrook
Median mortgage repayment ($/monthly),1428.0,Kithbrook
Median rent ($/weekly)(a),175.0,Kithbrook
Average number of persons per bedroom,0.8,Kithbrook
Average household size,2.1,Kithbrook
Median age of persons,41.0,Warrenheip
Median total personal income ($/weekly),735.0,Warrenheip
Median total family income ($/weekly),2060.0,Warrenheip
Median total household income ($/weekly),1687.0,Warrenheip
Median mortgage repayment ($/monthly),1733.0,Warrenheip
Median rent ($/weekly)(a),229.0,Warrenheip
Average number of persons per bedroom,0.9,Warrenheip
Average household size,2.8,Warrenheip
Median age of persons,63.0,Wehla
Median total personal income ($/weekly),474.0,Wehla
Median total family income ($/weekly),1156.0,Wehla
Median total household income ($/weekly),1031.0,Wehla
Median mortgage repayment ($/monthly),740.0,Wehla
Median rent ($/weekly)(a),125.0,Wehla
Average number of persons per bedroom,0.9,Wehla
Average household size,1.9,Wehla
Median age of persons,58.0,Hepburn Springs
Median total personal income ($/weekly),788.0,Hepburn Springs
Median total family income ($/weekly),1981.0,Hepburn Springs
Median total household income ($/weekly),1232.0,Hepburn Springs
Median mortgage repayment ($/monthly),1387.0,Hepburn Springs
Median rent ($/weekly)(a),341.0,Hepburn Springs
Average number of persons per bedroom,0.7,Hepburn Springs
Average household size,1.8,Hepburn Springs
Median age of persons,39.0,Thomastown
Median total personal income ($/weekly),502.0,Thomastown
Median total family income ($/weekly),1387.0,Thomastown
Median total household income ($/weekly),1225.0,Thomastown
Median mortgage repayment ($/monthly),1690.0,Thomastown
Median rent ($/weekly)(a),350.0,Thomastown
Average number of persons per bedroom,0.8,Thomastown
Average household size,2.6,Thomastown
Median age of persons,51.0,Glen Park
Median total personal income ($/weekly),824.0,Glen Park
Median total family income ($/weekly),2050.0,Glen Park
Median total household income ($/weekly),1833.0,Glen Park
Median mortgage repayment ($/monthly),1818.0,Glen Park
Median rent ($/weekly)(a),0.0,Glen Park
Average number of persons per bedroom,0.8,Glen Park
Average household size,2.7,Glen Park
Median age of persons,53.0,Tatong
Median total personal income ($/weekly),697.0,Tatong
Median total family income ($/weekly),1402.0,Tatong
Median total household income ($/weekly),1261.0,Tatong
Median mortgage repayment ($/monthly),1300.0,Tatong
Median rent ($/weekly)(a),200.0,Tatong
Average number of persons per bedroom,0.8,Tatong
Average household size,2.3,Tatong
Median age of persons,46.0,Tarrawingee
Median total personal income ($/weekly),725.0,Tarrawingee
Median total family income ($/weekly),1770.0,Tarrawingee
Median total household income ($/weekly),1416.0,Tarrawingee
Median mortgage repayment ($/monthly),1603.0,Tarrawingee
Median rent ($/weekly)(a),250.0,Tarrawingee
Average number of persons per bedroom,0.7,Tarrawingee
Average household size,2.6,Tarrawingee
Median age of persons,54.0,Walmer (Vic.)
Median total personal income ($/weekly),610.0,Walmer (Vic.)
Median total family income ($/weekly),1674.0,Walmer (Vic.)
Median total household income ($/weekly),1449.0,Walmer (Vic.)
Median mortgage repayment ($/monthly),1387.0,Walmer (Vic.)
Median rent ($/weekly)(a),331.0,Walmer (Vic.)
Average number of persons per bedroom,0.8,Walmer (Vic.)
Average household size,2.4,Walmer (Vic.)
Median age of persons,60.0,Peronne
Median total personal income ($/weekly),675.0,Peronne
Median total family income ($/weekly),1624.0,Peronne
Median total household income ($/weekly),1375.0,Peronne
Median mortgage repayment ($/monthly),301.0,Peronne
Median rent ($/weekly)(a),0.0,Peronne
Average number of persons per bedroom,0.7,Peronne
Average household size,2.1,Peronne
Median age of persons,57.0,Laanecoorie
Median total personal income ($/weekly),568.0,Laanecoorie
Median total family income ($/weekly),1399.0,Laanecoorie
Median total household income ($/weekly),1160.0,Laanecoorie
Median mortgage repayment ($/monthly),1017.0,Laanecoorie
Median rent ($/weekly)(a),1550.0,Laanecoorie
Average number of persons per bedroom,0.8,Laanecoorie
Average household size,2.1,Laanecoorie
Median age of persons,37.0,Seville
Median total personal income ($/weekly),900.0,Seville
Median total family income ($/weekly),2265.0,Seville
Median total household income ($/weekly),2144.0,Seville
Median mortgage repayment ($/monthly),1950.0,Seville
Median rent ($/weekly)(a),369.0,Seville
Average number of persons per bedroom,0.8,Seville
Average household size,2.9,Seville
Median age of persons,53.0,Lake Bunga
Median total personal income ($/weekly),614.0,Lake Bunga
Median total family income ($/weekly),1300.0,Lake Bunga
Median total household income ($/weekly),1101.0,Lake Bunga
Median mortgage repayment ($/monthly),1483.0,Lake Bunga
Median rent ($/weekly)(a),280.0,Lake Bunga
Average number of persons per bedroom,0.7,Lake Bunga
Average household size,2.3,Lake Bunga
Median age of persons,49.0,Marraweeney
Median total personal income ($/weekly),480.0,Marraweeney
Median total family income ($/weekly),1124.0,Marraweeney
Median total household income ($/weekly),1375.0,Marraweeney
Median mortgage repayment ($/monthly),1274.0,Marraweeney
Median rent ($/weekly)(a),250.0,Marraweeney
Average number of persons per bedroom,1.1,Marraweeney
Average household size,2.6,Marraweeney
Median age of persons,33.0,Point Cook
Median total personal income ($/weekly),969.0,Point Cook
Median total family income ($/weekly),2468.0,Point Cook
Median total household income ($/weekly),2392.0,Point Cook
Median mortgage repayment ($/monthly),2115.0,Point Cook
Median rent ($/weekly)(a),400.0,Point Cook
Average number of persons per bedroom,0.8,Point Cook
Average household size,3.2,Point Cook
Median age of persons,57.0,Simson
Median total personal income ($/weekly),469.0,Simson
Median total family income ($/weekly),1937.0,Simson
Median total household income ($/weekly),1542.0,Simson
Median mortgage repayment ($/monthly),867.0,Simson
Median rent ($/weekly)(a),214.0,Simson
Average number of persons per bedroom,0.7,Simson
Average household size,2.3,Simson
Median age of persons,40.0,Telangatuk East
Median total personal income ($/weekly),1149.0,Telangatuk East
Median total family income ($/weekly),2624.0,Telangatuk East
Median total household income ($/weekly),1937.0,Telangatuk East
Median mortgage repayment ($/monthly),0.0,Telangatuk East
Median rent ($/weekly)(a),80.0,Telangatuk East
Average number of persons per bedroom,0.8,Telangatuk East
Average household size,2.7,Telangatuk East
Median age of persons,34.0,Wangoom
Median total personal income ($/weekly),900.0,Wangoom
Median total family income ($/weekly),2218.0,Wangoom
Median total household income ($/weekly),2104.0,Wangoom
Median mortgage repayment ($/monthly),1500.0,Wangoom
Median rent ($/weekly)(a),280.0,Wangoom
Average number of persons per bedroom,0.8,Wangoom
Average household size,3.0,Wangoom
Median age of persons,50.0,Tungamah
Median total personal income ($/weekly),550.0,Tungamah
Median total family income ($/weekly),1292.0,Tungamah
Median total household income ($/weekly),1008.0,Tungamah
Median mortgage repayment ($/monthly),932.0,Tungamah
Median rent ($/weekly)(a),150.0,Tungamah
Average number of persons per bedroom,0.8,Tungamah
Average household size,2.3,Tungamah
Median age of persons,44.0,Wildwood
Median total personal income ($/weekly),702.0,Wildwood
Median total family income ($/weekly),1890.0,Wildwood
Median total household income ($/weekly),1765.0,Wildwood
Median mortgage repayment ($/monthly),1632.0,Wildwood
Median rent ($/weekly)(a),550.0,Wildwood
Average number of persons per bedroom,0.9,Wildwood
Average household size,2.9,Wildwood
Median age of persons,39.0,Riverslea
Median total personal income ($/weekly),1017.0,Riverslea
Median total family income ($/weekly),2178.0,Riverslea
Median total household income ($/weekly),1983.0,Riverslea
Median mortgage repayment ($/monthly),1733.0,Riverslea
Median rent ($/weekly)(a),110.0,Riverslea
Average number of persons per bedroom,0.7,Riverslea
Average household size,2.7,Riverslea
Median age of persons,43.0,Elingamite
Median total personal income ($/weekly),665.0,Elingamite
Median total family income ($/weekly),1625.0,Elingamite
Median total household income ($/weekly),1218.0,Elingamite
Median mortgage repayment ($/monthly),1083.0,Elingamite
Median rent ($/weekly)(a),0.0,Elingamite
Average number of persons per bedroom,0.8,Elingamite
Average household size,2.8,Elingamite
Median age of persons,29.0,Strathtulloh
Median total personal income ($/weekly),1000.0,Strathtulloh
Median total family income ($/weekly),2191.0,Strathtulloh
Median total household income ($/weekly),2188.0,Strathtulloh
Median mortgage repayment ($/monthly),1950.0,Strathtulloh
Median rent ($/weekly)(a),380.0,Strathtulloh
Average number of persons per bedroom,0.8,Strathtulloh
Average household size,3.2,Strathtulloh
Median age of persons,44.0,Lindenow South
Median total personal income ($/weekly),719.0,Lindenow South
Median total family income ($/weekly),1625.0,Lindenow South
Median total household income ($/weekly),1413.0,Lindenow South
Median mortgage repayment ($/monthly),1300.0,Lindenow South
Median rent ($/weekly)(a),280.0,Lindenow South
Average number of persons per bedroom,0.8,Lindenow South
Average household size,2.6,Lindenow South
Median age of persons,41.0,Stony Creek (South Gippsland - Vic.)
Median total personal income ($/weekly),728.0,Stony Creek (South Gippsland - Vic.)
Median total family income ($/weekly),1894.0,Stony Creek (South Gippsland - Vic.)
Median total household income ($/weekly),1625.0,Stony Creek (South Gippsland - Vic.)
Median mortgage repayment ($/monthly),1300.0,Stony Creek (South Gippsland - Vic.)
Median rent ($/weekly)(a),260.0,Stony Creek (South Gippsland - Vic.)
Average number of persons per bedroom,0.8,Stony Creek (South Gippsland - Vic.)
Average household size,2.7,Stony Creek (South Gippsland - Vic.)
Median age of persons,40.0,Reefton (Vic.)
Median total personal income ($/weekly),537.0,Reefton (Vic.)
Median total family income ($/weekly),1416.0,Reefton (Vic.)
Median total household income ($/weekly),850.0,Reefton (Vic.)
Median mortgage repayment ($/monthly),1100.0,Reefton (Vic.)
Median rent ($/weekly)(a),0.0,Reefton (Vic.)
Average number of persons per bedroom,0.9,Reefton (Vic.)
Average household size,2.2,Reefton (Vic.)
Median age of persons,41.0,Mockinya
Median total personal income ($/weekly),941.0,Mockinya
Median total family income ($/weekly),3749.0,Mockinya
Median total household income ($/weekly),2250.0,Mockinya
Median mortgage repayment ($/monthly),892.0,Mockinya
Median rent ($/weekly)(a),0.0,Mockinya
Average number of persons per bedroom,0.9,Mockinya
Average household size,3.8,Mockinya
Median age of persons,46.0,Guildford (Vic.)
Median total personal income ($/weekly),626.0,Guildford (Vic.)
Median total family income ($/weekly),1571.0,Guildford (Vic.)
Median total household income ($/weekly),1138.0,Guildford (Vic.)
Median mortgage repayment ($/monthly),1470.0,Guildford (Vic.)
Median rent ($/weekly)(a),250.0,Guildford (Vic.)
Average number of persons per bedroom,0.8,Guildford (Vic.)
Average household size,2.2,Guildford (Vic.)
Median age of persons,43.0,Keilor Downs
Median total personal income ($/weekly),586.0,Keilor Downs
Median total family income ($/weekly),1761.0,Keilor Downs
Median total household income ($/weekly),1558.0,Keilor Downs
Median mortgage repayment ($/monthly),1733.0,Keilor Downs
Median rent ($/weekly)(a),360.0,Keilor Downs
Average number of persons per bedroom,0.8,Keilor Downs
Average household size,2.8,Keilor Downs
Median age of persons,52.0,Hallston
Median total personal income ($/weekly),715.0,Hallston
Median total family income ($/weekly),1562.0,Hallston
Median total household income ($/weekly),1375.0,Hallston
Median mortgage repayment ($/monthly),1528.0,Hallston
Median rent ($/weekly)(a),1300.0,Hallston
Average number of persons per bedroom,0.7,Hallston
Average household size,2.3,Hallston
Median age of persons,46.0,Westmere
Median total personal income ($/weekly),1125.0,Westmere
Median total family income ($/weekly),2250.0,Westmere
Median total household income ($/weekly),1625.0,Westmere
Median mortgage repayment ($/monthly),1116.0,Westmere
Median rent ($/weekly)(a),35.0,Westmere
Average number of persons per bedroom,0.8,Westmere
Average household size,2.3,Westmere
Median age of persons,55.0,Cosgrove (Vic.)
Median total personal income ($/weekly),606.0,Cosgrove (Vic.)
Median total family income ($/weekly),1374.0,Cosgrove (Vic.)
Median total household income ($/weekly),1125.0,Cosgrove (Vic.)
Median mortgage repayment ($/monthly),1040.0,Cosgrove (Vic.)
Median rent ($/weekly)(a),200.0,Cosgrove (Vic.)
Average number of persons per bedroom,0.7,Cosgrove (Vic.)
Average household size,2.4,Cosgrove (Vic.)
Median age of persons,43.0,Camberwell (Vic.)
Median total personal income ($/weekly),1043.0,Camberwell (Vic.)
Median total family income ($/weekly),3264.0,Camberwell (Vic.)
Median total household income ($/weekly),2457.0,Camberwell (Vic.)
Median mortgage repayment ($/monthly),3000.0,Camberwell (Vic.)
Median rent ($/weekly)(a),486.0,Camberwell (Vic.)
Average number of persons per bedroom,0.8,Camberwell (Vic.)
Average household size,2.6,Camberwell (Vic.)
Median age of persons,47.0,Blackwood (Vic.)
Median total personal income ($/weekly),767.0,Blackwood (Vic.)
Median total family income ($/weekly),1837.0,Blackwood (Vic.)
Median total household income ($/weekly),1424.0,Blackwood (Vic.)
Median mortgage repayment ($/monthly),1300.0,Blackwood (Vic.)
Median rent ($/weekly)(a),305.0,Blackwood (Vic.)
Average number of persons per bedroom,0.8,Blackwood (Vic.)
Average household size,2.0,Blackwood (Vic.)
Median age of persons,31.0,Boigbeat
Median total personal income ($/weekly),725.0,Boigbeat
Median total family income ($/weekly),2250.0,Boigbeat
Median total household income ($/weekly),1624.0,Boigbeat
Median mortgage repayment ($/monthly),0.0,Boigbeat
Median rent ($/weekly)(a),150.0,Boigbeat
Average number of persons per bedroom,1.0,Boigbeat
Average household size,2.7,Boigbeat
Median age of persons,42.0,Nerrina
Median total personal income ($/weekly),1033.0,Nerrina
Median total family income ($/weekly),2823.0,Nerrina
Median total household income ($/weekly),2405.0,Nerrina
Median mortgage repayment ($/monthly),1717.0,Nerrina
Median rent ($/weekly)(a),380.0,Nerrina
Average number of persons per bedroom,0.7,Nerrina
Average household size,2.7,Nerrina
Median age of persons,54.0,Cudgewa
Median total personal income ($/weekly),654.0,Cudgewa
Median total family income ($/weekly),1444.0,Cudgewa
Median total household income ($/weekly),1281.0,Cudgewa
Median mortgage repayment ($/monthly),1062.0,Cudgewa
Median rent ($/weekly)(a),130.0,Cudgewa
Average number of persons per bedroom,0.7,Cudgewa
Average household size,2.1,Cudgewa
Median age of persons,39.0,Newington (Vic.)
Median total personal income ($/weekly),802.0,Newington (Vic.)
Median total family income ($/weekly),2418.0,Newington (Vic.)
Median total household income ($/weekly),1695.0,Newington (Vic.)
Median mortgage repayment ($/monthly),1517.0,Newington (Vic.)
Median rent ($/weekly)(a),315.0,Newington (Vic.)
Average number of persons per bedroom,0.7,Newington (Vic.)
Average household size,2.4,Newington (Vic.)
Median age of persons,50.0,Mount Rowan
Median total personal income ($/weekly),710.0,Mount Rowan
Median total family income ($/weekly),1792.0,Mount Rowan
Median total household income ($/weekly),1528.0,Mount Rowan
Median mortgage repayment ($/monthly),1975.0,Mount Rowan
Median rent ($/weekly)(a),400.0,Mount Rowan
Average number of persons per bedroom,0.7,Mount Rowan
Average household size,2.6,Mount Rowan
Median age of persons,38.0,Woorndoo
Median total personal income ($/weekly),820.0,Woorndoo
Median total family income ($/weekly),1812.0,Woorndoo
Median total household income ($/weekly),1375.0,Woorndoo
Median mortgage repayment ($/monthly),1000.0,Woorndoo
Median rent ($/weekly)(a),125.0,Woorndoo
Average number of persons per bedroom,0.7,Woorndoo
Average household size,2.6,Woorndoo
Median age of persons,36.0,Bullumwaal
Median total personal income ($/weekly),700.0,Bullumwaal
Median total family income ($/weekly),1375.0,Bullumwaal
Median total household income ($/weekly),1343.0,Bullumwaal
Median mortgage repayment ($/monthly),1682.0,Bullumwaal
Median rent ($/weekly)(a),315.0,Bullumwaal
Average number of persons per bedroom,1.1,Bullumwaal
Average household size,2.7,Bullumwaal
Median age of persons,46.0,Yabba North
Median total personal income ($/weekly),481.0,Yabba North
Median total family income ($/weekly),1125.0,Yabba North
Median total household income ($/weekly),1218.0,Yabba North
Median mortgage repayment ($/monthly),1283.0,Yabba North
Median rent ($/weekly)(a),175.0,Yabba North
Average number of persons per bedroom,0.8,Yabba North
Average household size,2.8,Yabba North
Median age of persons,32.0,Brookfield (Vic.)
Median total personal income ($/weekly),706.0,Brookfield (Vic.)
Median total family income ($/weekly),1797.0,Brookfield (Vic.)
Median total household income ($/weekly),1642.0,Brookfield (Vic.)
Median mortgage repayment ($/monthly),1663.0,Brookfield (Vic.)
Median rent ($/weekly)(a),350.0,Brookfield (Vic.)
Average number of persons per bedroom,0.8,Brookfield (Vic.)
Average household size,3.1,Brookfield (Vic.)
Median age of persons,54.0,Barrakee
Median total personal income ($/weekly),425.0,Barrakee
Median total family income ($/weekly),1749.0,Barrakee
Median total household income ($/weekly),900.0,Barrakee
Median mortgage repayment ($/monthly),1083.0,Barrakee
Median rent ($/weekly)(a),0.0,Barrakee
Average number of persons per bedroom,0.9,Barrakee
Average household size,2.6,Barrakee
Median age of persons,50.0,Dingee
Median total personal income ($/weekly),542.0,Dingee
Median total family income ($/weekly),1625.0,Dingee
Median total household income ($/weekly),1021.0,Dingee
Median mortgage repayment ($/monthly),867.0,Dingee
Median rent ($/weekly)(a),100.0,Dingee
Average number of persons per bedroom,0.7,Dingee
Average household size,2.3,Dingee
Median age of persons,59.0,Chinkapook
Median total personal income ($/weekly),675.0,Chinkapook
Median total family income ($/weekly),2124.0,Chinkapook
Median total household income ($/weekly),1625.0,Chinkapook
