property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,year,quarter,age_0_to_19,age_20_to_39,age_40_to_59,age_60_plus,agency_name,agent_name,appointment_only,avg_days_on_market,description,family_percentage,features_list,first_listed_date,full_address,last_sold_date,listing_status,long_term_resident,median_rent_price,median_sold_price,number_sold,renter_percentage,schools,single_percentage,state_abbreviation,structured_features,unit_number,updated_date,url,coordinates
16481176.0,630,3,2.0,4.0,house,619.0,"3, ,2, ,4, 619,",frankston,3199,2023,06,,,,,,,,,,,,,"Taverner Square, Frankston, VIC 3199",,,,,,,,,,,,,,1-taverner-square-frankston-vic-3199-16481176,
16481585.0,530,3,2.0,4.0,house,0.0,"3, ,2, ,4,",frankston,3199,2023,06,,,,,,,,,,,,,"Leawarra Parade, Frankston, VIC 3199",,,,,,,,,,,,,,44-leawarra-parade-frankston-vic-3199-16481585,
16481623.0,480,3,2.0,1.0,house,0.0,"3, ,2, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"Mcmahons Road, Frankston, VIC 3199",,,,,,,,,,,,,,154-mcmahons-road-frankston-vic-3199-16481623,
16481875.0,540,3,2.0,4.0,house,0.0,"3, ,2, ,4,",frankston,3199,2023,06,,,,,,,,,,,,,"Minton Drive, Frankston, VIC 3199",,,,,,,,,,,,,,4-minton-drive-frankston-vic-3199-16481875,
16481981.0,410,2,1.0,1.0,apartment  unit  flat,0.0,"2, ,1, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"1 Tower Avenue, Frankston, VIC 3199",,,,,,,,,,,,,,4-1-tower-avenue-frankston-vic-3199-16481981,
16481993.0,415,2,2.0,1.0,townhouse,0.0,"2, ,2, ,1,",frankston,3199,2023,06,,,,,,,,,,,,,"23 Lewis Street, Frankston, VIC 3199",,,,,,,,,,,,,,5-23-lewis-street-frankston-vic-3199-16481993,
16383545.0,500 per week,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"551 Flinders Lane, Melbourne, VIC 3000",,,,,,,,,,,,,,unit-601-551-flinders-lane-melbourne-vic-3000-16383545,
16478740.0,1100,2,2.0,1.0,apartment  unit  flat,0.0,"2, ,2, ,1,",melbourne,3000,2023,06,,,,,,,,,,,,,"63 La Trobe Street, Melbourne, VIC 3000",,,,,,,,,,,,,,1604-63-la-trobe-street-melbourne-vic-3000-16478740,
16478744.0,650,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"63 La Trobe Street, Melbourne, VIC 3000",,,,,,,,,,,,,,1706-63-la-trobe-street-melbourne-vic-3000-16478744,
16489109.0,850,2,1.0,1.0,apartment  unit  flat,0.0,"2, ,1, ,1,",melbourne,3000,2023,06,,,,,,,,,,,,,"483 Swanston Street, Melbourne, VIC 3000",,,,,,,,,,,,,,3302-483-swanston-street-melbourne-vic-3000-16489109,
16490860.0,1350,3,2.0,2.0,apartment  unit  flat,0.0,"3, ,2, ,2,",melbourne,3000,2023,06,,,,,,,,,,,,,"454 St Kilda Road, Melbourne, VIC 3000",,,,,,,,,,,,,,1004-454-st-kilda-road-melbourne-vic-3000-16490860,
16491620.0,525 per week,2,1.0,,apartment  unit  flat,0.0,"2, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"115 Swanston Street, Melbourne, VIC 3000",,,,,,,,,,,,,,806-115-swanston-street-melbourne-vic-3000-16491620,
16491626.0,575 per week,1,1.0,1.0,apartment  unit  flat,0.0,"1, ,1, ,1,",melbourne,3000,2023,06,,,,,,,,,,,,,"87 Franklin Street, Melbourne, VIC 3000",,,,,,,,,,,,,,1707-87-franklin-street-melbourne-vic-3000-16491626,
16493033.0,650-900,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"138 Spencer Street, Melbourne, VIC 3000",,,,,,,,,,,,,,premier-tower-138-spencer-street-melbourne-vic-3000-16493033,
16493503.0,530 pw,1,1.0,1.0,apartment  unit  flat,0.0,"1, ,1, ,1,",melbourne,3000,2023,06,,,,,,,,,,,,,"398 La Trobe Street, Melbourne, VIC 3000",,,,,,,,,,,,,,21-398-la-trobe-street-melbourne-vic-3000-16493503,
16493920.0,900 pw,3,1.0,1.0,apartment  unit  flat,0.0,"3, ,1, ,1,",melbourne,3000,2023,06,,,,,,,,,,,,,"283 Spring Street, Melbourne, VIC 3000",,,,,,,,,,,,,,193-283-spring-street-melbourne-vic-3000-16493920,
16493969.0,850,2,2.0,,apartment  unit  flat,0.0,"2, ,2, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"138 Spencer Street, Melbourne, VIC 3000",,,,,,,,,,,,,,1807-138-spencer-street-melbourne-vic-3000-16493969,
16493972.0,650,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"138 Spencer Street, Melbourne, VIC 3000",,,,,,,,,,,,,,3709-138-spencer-street-melbourne-vic-3000-16493972,
16494298.0,750 pw,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"308 Exhibition Street, Melbourne, VIC 3000",,,,,,,,,,,,,,2507-308-exhibition-street-melbourne-vic-3000-16494298,
16494583.0,60000,2,1.0,,apartment  unit  flat,0.0,"2, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"422 Collins Street, Melbourne, VIC 3000",,,,,,,,,,,,,,520-422-collins-street-melbourne-vic-3000-16494583,
16495584.0,600 pw,2,2.0,1.0,apartment  unit  flat,0.0,"2, ,2, ,1,",melbourne,3000,2023,06,,,,,,,,,,,,,"565 Flinders Street, Melbourne, VIC 3000",,,,,,,,,,,,,,508-565-flinders-street-melbourne-vic-3000-16495584,
16497058.0,750 per week,1,1.0,1.0,apartment  unit  flat,0.0,"1, ,1, ,1,",melbourne,3000,2023,06,,,,,,,,,,,,,"2 Exhibition Street, Melbourne, VIC 3000",,,,,,,,,,,,,,15-2-exhibition-street-melbourne-vic-3000-16497058,
16497192.0,500 per week,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"7 Katherine Place, Melbourne, VIC 3000",,,,,,,,,,,,,,1503-7-katherine-place-melbourne-vic-3000-16497192,
16497552.0,850,2,2.0,,apartment  unit  flat,0.0,"2, ,2, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"648 Lonsdale Street, Melbourne, VIC 3000",,,,,,,,,,,,,,5710d-648-lonsdale-street-melbourne-vic-3000-16497552,
16497985.0,550 per week,1,1.0,,apartment  unit  flat,0.0,"1, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"562 Little Bourke Street, Melbourne, VIC 3000",,,,,,,,,,,,,,6-562-little-bourke-street-melbourne-vic-3000-16497985,
16497986.0,675 pw,2,1.0,,apartment  unit  flat,0.0,"2, ,1, ,,",melbourne,3000,2023,06,,,,,,,,,,,,,"31 Abeckett Street, Melbourne, VIC 3000",,,,,,,,,,,,,,2510-31-abeckett-street-melbourne-vic-3000-16497986,
13286378.0,200000,3,2.0,3.0,house,0.0,"3, ,2, ,3,",seaspray,3851,2023,06,,,,,,,,,,,,,"Bearup Street, Seaspray, VIC 3851",,,,,,,,,,,,,,30-bearup-street-seaspray-vic-3851-13286378,
13286387.0,peak 2500off peak 1500,2,1.0,,house,0.0,"2, ,1, ,,",seaspray,3851,2023,06,,,,,,,,,,,,,"Irving Street, Seaspray, VIC 3851",,,,,,,,,,,,,,21-irving-street-seaspray-vic-3851-13286387,
