school_name,education_sector,school_type,establishment_year,x,y,coordinates
Our Lady Help of Christians School,Catholic,Primary,2023,142.5,-36.6,POINT (142.5 -36.6)
Osbornes Flat Primary School,Government,Primary,2023,146.9,-36.3,POINT (146.9 -36.3)
Orbost Secondary College,Government,Secondary,2023,148.5,-37.7,POINT (148.5 -37.7)
Omeo Primary School,Government,Primary,2023,147.6,-37.1,POINT (147.6 -37.1)
Officer Secondary College,Government,Secondary,2023,145.4,-38.1,POINT (145.4 -38.1)
Nyora Primary School,Government,Primary,2023,145.7,-38.3,POINT (145.7 -38.3)
Rawson Primary School,Government,Primary,2023,146.4,-38.0,POINT (146.4 -38)
Mullauna Secondary College,Government,Secondary,2023,145.2,-37.8,POINT (145.2 -37.8)
St Mary MacKillop Catholic Primary School,Catholic,Primary,2023,144.2,-38.0,POINT (144.2 -38)
St Mary's School,Catholic,Primary,2023,146.7,-36.6,POINT (146.7 -36.6)
Warburton Primary School,Government,Primary,2023,145.7,-37.8,POINT (145.7 -37.8)
Wangaratta High School,Government,Secondary,2023,146.3,-36.3,POINT (146.3 -36.3)
Wandiligong Primary School,Government,Primary,2023,147.0,-36.8,POINT (147 -36.8)
Walwa Primary School,Government,Primary,2023,147.7,-36.0,POINT (147.7 -36)
Wallington Primary School,Government,Primary,2023,144.5,-38.2,POINT (144.5 -38.2)
Wallan Secondary College,Government,Secondary,2023,145.0,-37.4,POINT (145 -37.4)
Wahgunyah Primary School,Government,Primary,2023,146.4,-36.0,POINT (146.4 -36)
Village High School,Independent,Secondary,2023,145.6,-38.5,POINT (145.6 -38.5)
Victory Lutheran College,Independent,Pri/Sec,2023,146.8,-36.1,POINT (146.8 -36.1)
Victoria University Secondary College,Government,Secondary,2023,144.8,-37.8,POINT (144.8 -37.8)
Upper Yarra Secondary College,Government,Secondary,2023,145.6,-37.8,POINT (145.6 -37.8)
Upper Sandy Creek Primary School,Government,Primary,2023,147.1,-36.4,POINT (147.1 -36.4)
Warragul Regional College,Government,Secondary,2023,145.9,-38.2,POINT (145.9 -38.2)
Upper Plenty Primary School,Government,Primary,2023,145.1,-37.4,POINT (145.1 -37.4)
Undera Primary School,Government,Primary,2023,145.2,-36.3,POINT (145.2 -36.3)
Ultima Primary School,Government,Primary,2023,143.3,-35.5,POINT (143.3 -35.5)
Tylden Primary School,Government,Primary,2023,144.4,-37.3,POINT (144.4 -37.3)
